id,name,KM 1,Precio 1,Precio 1 descuento,KM 2,Precio 2,Precios 2 descuneto,KM 3,Precio 3,Precios 3 descuneto,KM 4,Precio 4,stock,category,Destacadas,Image 1,Image 2,Image 3
2178,SIEGER KATZE KITTEN INMUNO PROTECT ,3KG,45000,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/9Fz5JcCn/SIEGER-KATZE-KITTEN-INMUNO-PROTECT-3KG.webp,https://i.postimg.cc/8Pby0FrG/SIEGER-KATZE-KITTEN-INMUNO-PROTECT-TABLA-NUTRICIONAL.jpg,
2180,SIEGER KATZE URINARY TRACT ,10KG,122300,,3KG,45000,43000,1KG,17200,,,,3,GATO,FALSE,https://i.postimg.cc/vTtrVJSn/SIEGER-KATZE-URINARY-TRACT-10KG.webp,https://i.postimg.cc/k5PBR5w0/SIEGER-KATZE-URINARY-TRACT-TABLA-NUTRICIONAL.jpg,
,SIEGER KATZE ADULTO QUALITY PROTEIN ,3KG,45000,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/PxnYkytJ/SIEGUER-KATZE-ADULTO-QUALITY-PROTEIN-3KG.webp,,
,SIEGER KATZE URINARY ESTERILIZADO ,3KG,45000,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/1zgwPtyf/SIEGER-GATO-URINARY-ESTERILIZADO-3KG.webp,,
,SIEGUER CACHORRO MINI SMALL ,3KG,30400,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/J4CWYGYW/SIEGUER-CACHORRO-MINI-SMALL-3KG.webp,,
,ROYAL CANIN ADULTO MINI ,1KG,17200,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/8CYWMh03/ROYAL-CANIN-ADULTO-MINI-1KG.webp,,
,ROYAL CANIN MINI JUNIOR,3KG,18000,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/SKxfxZ3S/ROYAL-CANIN-MINI-JUNIOR-1KG.webp,,
,CATFEED ADULTO ,3KG,26300,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/tTJtCvhN/CATFEED-ADULTO-3KG.webp,,
,CATFED GATO KITTEN ,3KG,28000,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/zGnSBW9Y/CATFED-GATO-KITTEN-3KG.png,,
,ESTAMPA PLUS PERRO ADULTO ,20KG,63300,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/ryv2093y/Estampa-Adultos-Plus.jpg,,
,ESTAMPA GATO ADULTO ,8KG,34500,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/BvTGc90p/ESTAMPA-GATO-PLUS-ADULTO-8KG.webp,https://i.postimg.cc/h4yR01H8/ESTAMPA-PLUS-GATO-ADULTO-8KG.png,
,TOP NUTRITION ADULTO RAZA MEDIANA ,3KG,22500,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/FFdPF12y/TOP-NUTRITION-ADULTO-RAZA-MEDIANA-3KG.webp,,
,TOP NUTRITION ADULTO RAZA PEQUEÑA ,3KG,22500,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/x1CNYN4p/TOP-NUTRITION-ADULTO-RAZA-PEQUENA-3KG.webp,,
